Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Total effort hours,Performance Index
4,99,Yes,8,5,9,87
6,94,Yes,5,1,7,77
4,89,Yes,7,1,5,72
3,68,No,7,2,5,51
7,51,Yes,6,7,14,40
8,78,Yes,5,7,15,72
4,86,No,8,9,13,68
2,42,No,7,9,11,22
3,87,No,8,9,12,67
1,40,Yes,8,9,10,18
8,66,Yes,7,7,15,64
3,87,Yes,7,6,9,66
7,63,No,6,1,8,50
5,83,No,5,0,5,68
5,58,Yes,4,5,10,44
7,98,Yes,5,7,14,90
9,47,No,4,0,9,41
5,94,No,7,2,7,83
1,83,No,8,0,1,57
1,86,Yes,5,9,10,64
2,41,No,8,8,10,18
6,69,No,5,6,12,62
9,69,No,9,7,16,66
8,88,No,5,8,16,85
5,78,Yes,8,2,7,62
1,84,No,9,9,10,62
7,71,Yes,6,1,8,62
5,40,Yes,7,5,10,26
6,77,No,6,4,10,66
7,52,No,6,3,10,43
3,50,Yes,5,5,8,30
3,49,No,7,5,8,25
5,87,Yes,9,2,7,77
6,98,No,5,1,7,88
9,65,Yes,4,8,17,62
5,95,Yes,5,7,12,82
1,94,Yes,9,3,4,73
4,59,No,8,5,9,44
5,56,Yes,5,2,7,40
5,56,Yes,4,7,12,39
7,43,No,5,2,9,34
4,44,No,9,1,5,27
1,99,Yes,4,6,7,73
5,62,Yes,7,2,7,46
7,85,No,9,8,15,78
6,91,Yes,5,2,8,80
5,49,No,4,7,12,33
4,85,No,9,1,5,68
2,67,No,7,8,10,45
4,72,Yes,8,0,4,56
3,82,No,6,2,5,58
1,65,Yes,4,1,2,37
8,94,Yes,8,6,14,88
5,89,No,7,4,9,75
4,87,No,8,7,11,70
8,68,No,5,1,9,62
7,66,No,6,7,14,57
2,57,Yes,4,6,8,32
1,79,Yes,9,4,5,53
4,99,No,7,1,5,82
8,49,Yes,6,9,17,41
2,97,No,7,6,8,75
3,81,Yes,8,9,12,63
1,44,Yes,7,3,4,17
1,49,Yes,7,3,4,24
3,89,No,8,7,10,69
5,60,Yes,8,5,10,47
3,63,Yes,6,8,11,43
1,77,Yes,4,1,2,48
1,42,Yes,8,4,5,17
8,79,No,6,5,13,75
2,70,Yes,7,7,9,54
3,80,No,7,3,6,59
2,76,No,9,6,8,56
3,41,Yes,5,6,9,20
7,41,Yes,8,3,10,34
1,78,No,6,0,1,54
8,88,No,9,2,10,83
2,81,No,6,1,3,59
3,83,Yes,4,2,5,63
9,73,Yes,9,4,13,72
7,81,No,6,0,7,70
4,59,No,8,4,8,41
5,72,No,6,1,6,54
2,43,Yes,5,3,5,21
8,84,Yes,7,5,13,83
4,83,No,7,8,12,64
9,50,Yes,9,9,18,51
5,81,No,6,5,10,66
9,86,Yes,6,9,18,83
4,44,No,6,1,5,26
5,64,Yes,6,7,12,49
9,88,Yes,5,4,13,85
8,99,Yes,8,8,16,95
3,76,Yes,5,9,12,56
1,73,Yes,5,8,9,50
3,48,Yes,5,3,6,23
4,45,Yes,7,0,4,26
2,57,No,5,8,10,30
1,53,No,6,8,9,28
7,58,No,5,7,14,48
8,53,Yes,6,4,12,46
7,79,Yes,9,4,11,73
5,56,Yes,8,9,14,45
1,99,No,7,5,6,76
7,74,No,8,0,7,71
7,68,No,9,8,15,60
9,81,No,8,4,13,77
3,56,No,7,6,9,36
9,98,No,6,7,16,96
1,82,Yes,9,4,5,62
1,47,No,9,2,3,22
4,40,Yes,6,5,9,21
9,84,No,6,6,15,79
6,92,No,7,3,9,82
3,75,Yes,5,8,11,55
1,46,Yes,4,3,4,22
4,85,Yes,5,9,13,70
9,44,No,5,1,10,37
3,63,No,8,8,11,42
9,67,Yes,4,3,12,64
7,82,No,6,3,10,72
4,56,Yes,5,9,13,42
3,76,No,7,0,3,56
5,59,No,5,1,6,43
5,42,No,6,2,7,24
3,76,Yes,5,6,9,55
9,65,No,9,8,17,64
4,54,Yes,8,4,8,34
5,90,Yes,8,3,8,78
4,87,Yes,5,1,5,71
5,47,Yes,8,6,11,33
7,52,Yes,7,5,12,46
9,87,Yes,4,6,15,86
7,42,Yes,5,7,14,34
5,40,Yes,7,8,13,26
7,48,Yes,9,9,16,44
5,70,No,7,4,9,53
3,80,Yes,7,4,7,61
7,93,No,9,3,10,84
2,65,Yes,6,2,4,40
9,56,No,5,6,15,53
1,95,No,5,4,5,67
6,73,No,5,6,12,58
7,48,No,4,1,8,41
8,95,No,7,8,16,89
9,90,No,5,8,17,85
2,52,Yes,8,8,10,33
2,44,Yes,6,4,6,20
5,80,Yes,9,9,14,66
5,52,Yes,9,8,13,38
6,40,Yes,4,0,6,25
3,64,Yes,9,1,4,43
8,86,No,6,9,17,79
1,43,Yes,7,4,5,16
6,75,No,9,4,10,67
4,91,No,9,5,9,80
1,49,No,8,7,8,26
7,67,No,7,0,7,57
9,96,No,5,9,18,91
4,45,No,6,8,12,29
4,66,Yes,9,3,7,48
6,95,No,8,7,13,84
3,51,No,6,4,7,33
6,91,Yes,4,0,6,82
7,87,Yes,8,8,15,81
3,42,Yes,4,7,10,24
7,85,Yes,9,4,11,81
3,72,Yes,8,3,6,54
2,49,Yes,5,7,9,25
4,70,Yes,6,8,12,53
8,54,No,6,6,14,48
9,46,Yes,7,3,12,40
7,75,No,8,6,13,66
1,53,Yes,8,5,6,29
3,95,Yes,4,2,5,73
9,87,No,8,9,18,89
1,53,Yes,6,2,3,27
9,42,Yes,8,0,9,40
8,88,Yes,7,4,12,83
1,92,Yes,7,7,8,69
6,85,Yes,6,5,11,72
5,89,Yes,6,7,12,77
6,42,Yes,6,6,12,32
5,61,No,8,1,6,49
6,58,Yes,8,7,13,44
5,74,No,5,3,8,57
5,51,No,9,4,9,34
4,93,No,9,7,11,76
3,44,No,4,4,7,22
3,49,No,8,4,7,30
4,80,No,5,5,9,67
9,72,No,5,6,15,71
2,52,Yes,7,8,10,29
9,74,Yes,8,6,15,74
1,90,Yes,5,5,6,67
1,71,No,7,9,10,46
5,50,Yes,4,3,8,34
6,87,No,7,9,15,76
6,77,No,4,1,7,64
3,63,Yes,9,8,11,46
7,74,No,9,9,16,68
9,58,No,6,4,13,58
8,45,Yes,6,4,12,41
6,79,No,7,2,8,64
8,93,Yes,6,2,10,84
5,84,No,8,0,5,70
8,83,No,7,4,12,77
4,81,Yes,5,2,6,60
8,74,Yes,8,1,9,65
2,43,Yes,7,8,10,21
5,72,No,9,9,14,60
9,52,No,4,5,14,48
4,95,Yes,6,2,6,77
6,75,Yes,6,6,12,63
1,93,Yes,6,8,9,68
9,82,No,7,8,17,81
1,58,No,8,0,1,29
5,82,Yes,4,1,6,66
4,51,Yes,6,7,11,36
3,50,Yes,8,0,3,29
6,45,No,5,2,8,32
2,51,Yes,9,6,8,31
3,66,Yes,5,7,10,45
5,80,Yes,4,4,9,65
9,64,No,6,1,10,57
2,81,No,5,2,4,58
8,42,Yes,9,8,16,38
2,42,No,8,9,11,22
5,59,Yes,8,6,11,48
7,67,Yes,5,0,7,59
8,62,Yes,6,2,10,58
1,87,Yes,9,8,9,62
6,42,No,4,6,12,30
1,81,Yes,6,1,2,56
2,63,Yes,7,5,7,40
1,82,No,5,8,9,59
5,79,Yes,7,3,8,65
9,45,No,5,9,18,43
6,59,Yes,4,1,7,48
1,50,Yes,6,2,3,24
1,71,Yes,9,6,7,51
2,99,Yes,6,3,5,81
9,66,No,5,6,15,62
3,60,Yes,8,4,7,43
1,83,No,7,7,8,63
5,87,No,9,7,12,73
7,89,No,9,4,11,76
6,52,Yes,6,6,12,43
1,61,No,6,5,6,34
5,74,No,5,7,12,57
5,86,No,8,8,13,72
6,61,Yes,7,4,10,47
3,67,Yes,8,6,9,52
5,60,No,9,0,5,49
7,85,No,8,7,14,77
5,57,Yes,5,2,7,41
5,70,No,8,0,5,56
5,99,No,7,5,10,89
3,85,No,9,7,10,65
1,76,Yes,4,2,3,49
5,60,No,9,0,5,48
9,53,No,4,2,11,47
1,64,Yes,7,4,5,37
3,66,No,9,7,10,48
4,79,Yes,9,8,12,61
1,99,Yes,9,8,9,77
1,99,Yes,9,3,4,75
8,62,No,5,7,15,57
2,70,No,6,4,6,45
8,86,No,9,2,10,82
7,99,No,5,4,11,90
2,68,No,7,1,3,42
6,86,No,9,5,11,74
6,69,No,8,0,6,60
3,90,No,9,5,8,73
2,65,Yes,9,4,6,40
1,59,No,4,8,9,32
6,77,No,8,6,12,67
5,58,Yes,9,5,10,46
9,66,No,9,6,15,65
1,64,Yes,9,9,10,42
7,79,No,5,4,11,69
5,77,No,7,0,5,62
5,91,Yes,4,8,13,75
2,62,Yes,9,4,6,40
3,68,No,7,3,6,43
7,54,Yes,4,5,12,42
6,98,No,4,4,10,84
2,42,No,4,0,2,15
6,49,No,9,1,7,39
2,54,No,5,3,5,26
2,95,No,9,7,9,73
2,55,No,9,4,6,34
3,56,Yes,7,6,9,34
2,58,Yes,6,1,3,37
4,50,Yes,6,7,11,34
9,87,No,6,4,13,85
6,44,Yes,7,3,9,31
1,44,No,8,8,9,18
8,97,Yes,7,5,13,92
7,53,No,4,3,10,44
3,89,No,9,7,10,72
1,65,No,8,2,3,40
5,47,No,4,9,14,31
4,44,No,9,1,5,25
8,46,Yes,9,6,14,44
1,55,No,4,3,4,27
1,94,Yes,7,3,4,66
4,53,No,6,9,13,34
8,76,No,8,8,16,70
5,95,No,9,1,6,81
2,80,Yes,5,0,2,56
6,43,No,9,6,12,30
5,75,Yes,6,7,12,60
2,87,No,9,2,4,64
3,95,Yes,5,1,4,74
9,56,Yes,7,3,12,52
7,86,Yes,9,1,8,84
7,75,No,8,1,8,66
6,45,No,7,4,10,32
8,55,Yes,5,9,17,47
4,68,No,4,4,8,51
8,75,No,9,7,15,67
4,77,No,7,8,12,57
8,76,Yes,9,1,9,71
9,87,Yes,8,0,9,86
3,96,No,9,2,5,77
3,87,Yes,7,5,8,72
2,49,No,6,4,6,24
3,80,No,7,7,10,60
3,75,Yes,5,7,10,55
5,68,Yes,7,1,6,54
5,53,No,8,8,13,39
2,43,No,7,3,5,19
6,83,No,7,0,6,68
5,95,Yes,8,1,6,83
6,81,Yes,7,5,11,72
1,75,No,8,4,5,49
5,89,No,5,6,11,74
9,84,Yes,8,8,17,86
2,52,No,5,5,7,26
1,85,Yes,5,5,6,60
9,57,Yes,8,1,10,54
9,72,No,7,6,15,73
9,60,No,9,1,10,61
6,55,Yes,6,6,12,45
8,54,No,9,7,15,57
1,93,Yes,8,0,1,68
4,96,Yes,7,8,12,72
1,44,Yes,5,7,8,17
8,45,No,4,8,16,37
1,77,No,6,4,5,54
3,42,No,9,3,6,22
4,87,Yes,7,0,4,73
8,51,Yes,6,8,16,47
6,75,Yes,4,3,9,63
7,72,Yes,4,3,10,63
8,75,No,4,3,11,68
2,72,No,9,1,3,52
8,70,No,8,3,11,64
3,60,Yes,6,1,4,38
7,66,Yes,8,7,14,60
3,66,No,4,6,9,45
7,47,Yes,7,9,16,39
2,95,No,4,1,3,75
6,76,Yes,8,1,7,67
3,71,Yes,4,1,4,48
3,65,Yes,4,0,3,44
9,41,Yes,8,5,14,37
7,51,Yes,8,5,12,41
5,61,No,7,0,5,47
7,56,No,8,0,7,45
9,46,No,7,5,14,43
1,82,Yes,5,5,6,54
7,43,No,5,3,10,32
6,76,No,8,2,8,64
9,77,Yes,4,8,17,74
1,71,Yes,6,5,6,50
4,50,No,4,0,4,33
9,40,No,8,2,11,36
4,64,No,7,0,4,45
3,81,No,4,2,5,58
9,91,No,5,1,10,85
2,63,Yes,9,4,6,41
4,92,No,8,2,6,78
6,82,No,4,6,12,63
2,95,No,9,7,9,76
8,56,No,4,6,14,51
8,47,No,7,1,9,36
1,98,No,7,9,10,74
3,84,Yes,7,9,12,65
9,66,Yes,9,6,15,65
5,91,Yes,6,9,14,79
6,57,No,9,2,8,46
4,66,No,8,6,10,47
2,61,Yes,8,0,2,42
8,55,No,5,1,9,46
6,41,No,5,9,15,34
5,44,No,8,0,5,27
9,57,Yes,4,8,17,52
1,42,Yes,8,1,2,17
5,66,Yes,6,1,6,53
6,93,No,5,5,11,84
5,56,Yes,5,6,11,39
6,55,Yes,9,1,7,44
6,45,Yes,5,3,9,36
7,90,No,8,2,9,81
4,46,Yes,5,4,8,30
8,89,Yes,5,8,16,80
7,53,No,9,1,8,41
9,77,Yes,8,4,13,77
7,79,No,4,7,14,69
3,54,No,5,5,8,34
3,86,Yes,5,3,6,64
8,86,Yes,5,9,17,78
5,87,Yes,6,7,12,74
4,72,No,8,2,6,52
8,82,Yes,5,3,11,76
6,66,Yes,6,8,14,53
2,68,Yes,4,4,6,46
4,96,No,4,5,9,77
4,76,No,9,1,5,59
6,44,No,9,8,14,35
6,68,Yes,9,7,13,61
1,71,Yes,6,6,7,46
8,99,No,4,8,16,97
6,92,Yes,9,4,10,86
3,45,Yes,7,4,7,24
9,41,No,9,8,17,37
2,45,No,4,4,6,18
8,85,No,7,8,16,84
3,82,Yes,6,0,3,59
5,43,Yes,7,9,14,29
6,95,Yes,4,9,15,84
6,68,No,5,7,13,60
4,98,No,7,2,6,78
3,64,Yes,4,7,10,46
4,48,No,9,4,8,31
1,95,No,5,1,2,68
4,42,Yes,6,8,12,25
1,65,No,6,3,4,37
1,87,Yes,8,6,7,62
6,82,No,6,7,13,69
5,66,Yes,8,6,11,50
4,75,No,6,5,9,55
3,71,Yes,6,6,9,54
1,40,No,6,3,4,12
6,96,No,8,9,15,88
2,92,No,9,0,2,69
8,93,No,8,4,12,88
5,55,No,7,7,12,41
7,90,Yes,4,9,16,83
2,87,Yes,4,5,7,62
8,50,Yes,9,4,12,45
2,65,No,4,1,3,42
4,79,Yes,6,9,13,65
1,94,No,9,4,5,73
5,40,No,4,9,14,23
9,65,Yes,8,2,11,61
1,67,Yes,7,1,2,41
9,92,No,5,2,11,85
8,97,No,7,3,11,93
6,48,Yes,4,1,7,35
7,99,Yes,9,3,10,92
3,98,No,4,3,6,79
1,83,No,8,5,6,57
5,61,Yes,7,4,9,49
2,47,No,8,6,8,28
5,97,No,8,6,11,85
8,88,Yes,5,2,10,82
9,81,Yes,8,8,17,80
2,66,No,8,6,8,41
3,78,No,5,6,9,57
3,58,Yes,6,1,4,41
1,64,No,6,9,10,43
8,77,Yes,9,2,10,73
6,60,No,5,2,8,46
8,63,Yes,9,5,13,61
9,63,No,9,3,12,61
5,99,No,8,3,8,87
3,99,No,9,0,3,78
5,58,Yes,4,5,10,43
5,89,Yes,7,7,12,75
5,86,Yes,4,7,12,72
3,41,No,4,7,10,18
4,53,No,8,4,8,36
9,92,Yes,7,9,18,92
9,71,Yes,9,5,14,71
2,81,No,7,4,6,58
8,71,No,9,3,11,69
8,67,No,6,3,11,58
7,87,No,5,3,10,74
8,78,Yes,8,3,11,72
3,79,Yes,9,5,8,61
6,81,No,9,5,11,74
1,86,No,7,4,5,60
7,79,No,8,8,15,70
1,52,Yes,9,7,8,27
9,51,Yes,6,9,18,49
1,47,No,4,5,6,17
1,54,No,9,8,9,34
7,65,No,7,4,11,51
2,51,No,6,9,11,27
5,82,No,8,3,8,67
8,90,No,9,5,13,84
8,85,Yes,6,3,11,81
3,66,Yes,6,7,10,45
7,57,Yes,6,6,13,50
3,84,No,6,4,7,67
6,75,No,6,9,15,67
6,88,No,6,5,11,77
3,90,Yes,5,6,9,70
7,66,No,8,1,8,59
3,48,Yes,4,8,11,27
8,94,No,8,6,14,88
4,78,No,7,7,11,60
1,40,No,7,4,5,14
4,46,Yes,8,2,6,27
7,65,Yes,6,1,8,54
4,46,Yes,5,1,5,32
6,91,No,4,2,8,79
9,46,Yes,9,0,9,44
1,47,No,9,0,1,20
5,55,No,6,6,11,42
7,42,Yes,8,9,16,33
1,84,Yes,9,7,8,58
4,49,No,8,5,9,31
6,89,No,5,6,12,75
2,46,No,5,0,2,22
5,60,No,8,0,5,46
1,92,Yes,6,8,9,68
6,76,Yes,6,4,10,66
6,70,Yes,6,6,12,60
4,62,No,9,5,9,44
8,96,No,4,3,11,90
4,66,No,4,0,4,47
8,95,Yes,6,3,11,88
8,61,No,8,9,17,56
5,78,No,5,9,14,66
4,96,Yes,7,7,11,78
2,66,Yes,5,0,2,43
3,93,No,5,1,4,72
3,88,Yes,7,7,10,69
4,43,No,6,1,5,24
4,63,Yes,5,9,13,47
5,62,No,7,8,13,45
4,87,Yes,9,2,6,72
8,58,Yes,8,2,10,51
6,81,Yes,8,5,11,73
6,42,Yes,8,2,8,28
8,66,No,6,8,16,56
7,42,No,5,7,14,29
8,67,Yes,5,3,11,60
2,56,No,4,5,7,28
9,70,Yes,8,7,16,66
1,49,Yes,6,3,4,21
8,88,No,7,4,12,84
4,61,No,6,6,10,42
4,69,No,5,7,11,51
5,88,No,8,6,11,74
8,60,No,4,7,15,50
5,75,No,9,3,8,62
8,92,No,6,0,8,90
1,62,Yes,4,5,6,32
9,77,No,5,4,13,71
6,51,Yes,7,3,9,37
3,64,No,6,1,4,42
8,93,No,9,0,8,85
9,96,Yes,5,8,17,96
6,59,Yes,8,1,7,51
7,88,Yes,6,8,15,82
1,88,Yes,4,5,6,64
5,81,No,6,5,10,67
5,46,No,5,1,6,32
4,68,Yes,5,5,9,50
6,87,Yes,4,2,8,73
7,68,No,9,6,13,62
9,52,No,5,9,18,48
1,42,Yes,6,3,4,20
6,41,No,9,8,14,33
7,55,No,4,4,11,43
3,69,Yes,5,9,12,49
8,77,Yes,5,2,10,70
5,45,Yes,6,0,5,28
9,84,Yes,5,0,9,82
5,46,No,6,3,8,29
9,44,Yes,8,9,18,42
4,95,No,9,9,13,79
